filename, language, JavaScript, TypeScript, JSON, Markdown, TypeScript React, HTML, SCSS, Database, comment, blank, total
c:\git\react-irish-rail\.eslintrc.js, JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
c:\git\react-irish-rail\.vs\VSWorkspaceState.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
c:\git\react-irish-rail\.vs\slnx.sqlite, Database, 0, 0, 0, 0, 0, 0, 0, 216, 0, 1, 217
c:\git\react-irish-rail\README.md, Markdown, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
c:\git\react-irish-rail\configs\jest.json, JSON, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
c:\git\react-irish-rail\configs\jest.preprocessor.js, JavaScript, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
c:\git\react-irish-rail\configs\webpack\common.js, JavaScript, 52, 0, 0, 0, 0, 0, 0, 0, 1, 2, 55
c:\git\react-irish-rail\configs\webpack\dev.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
c:\git\react-irish-rail\configs\webpack\prod.js, JavaScript, 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
c:\git\react-irish-rail\custom.d.ts, TypeScript, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
c:\git\react-irish-rail\express.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
c:\git\react-irish-rail\package-lock.json, JSON, 0, 0, 15957, 0, 0, 0, 0, 0, 0, 1, 15958
c:\git\react-irish-rail\package.json, JSON, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
c:\git\react-irish-rail\src\api\IrishRailApi.tsx, TypeScript React, 0, 0, 0, 0, 158, 0, 0, 0, 0, 11, 169
c:\git\react-irish-rail\src\assets\scss\App.scss, SCSS, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
c:\git\react-irish-rail\src\components\App.tsx, TypeScript React, 0, 0, 0, 0, 69, 0, 0, 0, 0, 13, 82
c:\git\react-irish-rail\src\components\FuzzyOverlay.tsx, TypeScript React, 0, 0, 0, 0, 47, 0, 0, 0, 0, 7, 54
c:\git\react-irish-rail\src\components\ScheduleContainer.tsx, TypeScript React, 0, 0, 0, 0, 65, 0, 0, 0, 0, 12, 77
c:\git\react-irish-rail\src\components\ScheduleTable.tsx, TypeScript React, 0, 0, 0, 0, 66, 0, 0, 0, 0, 9, 75
c:\git\react-irish-rail\src\components\SearchParameters.tsx, TypeScript React, 0, 0, 0, 0, 58, 0, 0, 0, 0, 7, 65
c:\git\react-irish-rail\src\components\StationSearch.tsx, TypeScript React, 0, 0, 0, 0, 129, 0, 0, 0, 1, 14, 144
c:\git\react-irish-rail\src\index.html.ejs, HTML, 0, 0, 0, 0, 0, 43, 0, 0, 1, 2, 46
c:\git\react-irish-rail\src\index.tsx, TypeScript React, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
c:\git\react-irish-rail\tests\App.test.tsx, TypeScript React, 0, 0, 0, 0, 9, 0, 0, 0, 2, 4, 15
c:\git\react-irish-rail\tests\__mocks__\fileMock.js, JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
c:\git\react-irish-rail\tests\__mocks__\shim.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
c:\git\react-irish-rail\tests\__mocks__\styleMock.js, JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
c:\git\react-irish-rail\tsconfig.json, JSON, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
c:\git\react-irish-rail\tslint.json, JSON, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
Total, -, 121, 4, 16105, 2, 606, 43, 15, 216, 7, 110, 17229